FOOD,DRINK
Sushi(California Roll),Sake
Sushi(Dragon Roll),Sake
Sushi(Tuna Nigiri),Sake
Tempura,Asahi Beer
Ramen(Shoyu),Green Tea
Ramen(Miso),Sapporo Beer
Udon,Hot Sake
Katsu Curry,Japanese Lager
Takoyaki,Ramune
Fried Chicken (Korean),Soju
Kimchi,Rice Wine
Bibimbap,Soju
Beef Bulgogi,Red Wine (Pinot Noir)
Grilled Mackerel,Sake
Seaweed Salad,Green Tea
Peking Duck,Red Wine (Merlot)
Dim Sum,Jasmine Tea
Char Siu,Tsingtao Beer
Sweet and Sour Pork,White Wine (Riesling)
Fried Rice,Asahi Beer
Chop Suey,Green Tea
Spring Rolls,Ramune
Hot Pot,Sake
Pho (Beef),Thai Iced Tea
Pho (Chicken),Jasmine Tea
Pho (Shrimp),Thai Iced Tea
Banh Mi ,Iced Coffee
Banana Leaf Wrapped Fish ,White Wine (Chardonnay)
Curry Laksa,Tsingtao Beer
Laksa,Sake
Pineapple Fried Rice,Chardonnay
Sichuan Hot Pot,Tsingtao Beer
Mapo Tofu,White Wine (Sauvignon Blanc)
Sichuan Pepper Chicken ,Red Wine (Zinfandel)
Mongolian Beef,Riesling
Chow Mein,Green Tea
Banh Xeo,Thai Iced Tea
Goi Cuon (Vietnamese Spring Roll),Iced Green Tea
Bao Buns (Pork),Jasmine Tea
Roast Duck,Red Wine (Cabernet Sauvignon)
Grilled Pork ,White Wine (Pinot Gris)
Crispy Prok Belly,Belgian Beer
Dim Sum (Steamed Buns),Jasmine Tea
Pineapple Pork,Light Lager
Crispy Spring Rolls ,Sake
Chicken Satay,Mango Lassi
Pad Thai,Thai Iced Tea
Green Curry (Chicken),Riesling
Massaman Curry,Red Wine (Merlot)
Tom Yum Soup,Singha Beer
Sauerbraten (German Pot Roast),German Lager
Wiener Schnitzel,White Wine(Riesling)
Pretzels ,Wheat Beer
Bratwurst,Pilsner Beer
Currywurst,Kolsch Beer 
Sauerkraut,German White Wine (Gewürztraminer)
Kartoffelsalat (Potato Salad),Pilsner Beer
Kartoffelpuffer (Potato Pancakes),Weissbier
Goulash,Red Wine (Cabernet Sauvignon)
Chicken Paprikash,White White (Pinot Griogo)
Pirogi (Pierogi),Lager Beer
Beef Stroganoff,Chardonnay
Chicken Kiev,Sauvignon Blanc
Grilled Cheese Sandwhich,Tomato Soup
Mac and Cheese,Chardonnay
Buger (Beef),IPA Beer
Cheeseburger,Pale Ale 
Steak (Ribeye),Red Wine (Malbec)
Steak (Sirloin),Red Wine (Cabernet Sauvignon)
Steak (Filet Mignon),Red Wine (Pinot Noir)
BBQ Ribs,IPA Beer
Pulled Pork Sandwich,Iced Tea
Fried Catfish,Lemonade
Chicken Fried Steak,Sweet Tea
Fried Shrimp,Chardonnay
Lobster Tail,Champagne 
Clam Chowder,White Wine (Chardonnay)
Oysters Rockfeller,Champagne 
Fish Tacos,Pale Ale 
Taco (Beef),Margarita
Taco (Chicken),Corona Beer
Enchiladas,Sangria
Quesadillas,Margarita
Guacamole and Chips ,Tequila 
Chili,Lager Beer
Spaghetti Bolognese,Red Wine (Chianti)
Lasagna,Red Wine (Cabernet Sauvignon)
Pizza (Margherita),Pinot Grigio
Pizza (Pepperoni),IPA Beer
Pizza (Hawaiinan),Sweet Wine (Moscato)
Fettuccine Alfredo,Chardonnay
Pasta Primavera,White Wine (Sauvignon Blanc)
Pasta Carbonara,White Wine (Pinot Grigio)
Caesar Salad ,White Wine (Chardonnay)
Cauliflower Wings,Lager Beer
Vegetable Stir Fry,Jasmine Tea
Vegetarian Tacos,Lime Margarita
Grilled Veggies ,Rosé Wine
Cheeseburger,Lager Beer
BBQ Ribs,Bourbon 
Hot Dog,Lemonade
